Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Fertilizers Manufacturing,Emissions (CO2),kt,28.5988,26.4955,22.3799,32.4927,29.4433,29.9814,28.6394,27.2354,27.8469,35.3094,35.5012,35.5549,38.2179,39.1,39.1
Algeria,Fertilizers Manufacturing,Emissions (CO2),kt,58.3224,19.8705,97.0227,94.0348,2291.3829,1810.6709,2998.5145,3249.0138,3600.7867,2156.7737,2222.074,2276.5693,2499.5067,2608.4117,2608.4117
Argentina,Fertilizers Manufacturing,Emissions (CO2),kt,702.462,928.4767,747.5961,948.2078,949.6623,1093.8136,860.6136,753.7131,965.3688,1108.5953,778.3184,886.4727,872.0205,1169.2764,1169.2764
Australia,Fertilizers Manufacturing,Emissions (CO2),kt,615.3148,668.5954,664.5428,710.7278,725.4257,729.7466,752.0153,738.8421,779.6595,814.636,823.3277,828.6459,894.8855,919.6186,919.6186
Bahrain,Fertilizers Manufacturing,Emissions (CO2),kt,422.2978,435.9763,400.8506,442.4797,405.2285,431.973,434.1593,412.8743,422.1453,500.4375,506.6732,510.7967,552.4964,568.6105,568.6105
Bangladesh,Fertilizers Manufacturing,Emissions (CO2),kt,1334.7186,1174.3955,946.9846,847.8094,861.683,896.1383,760.5067,764.6755,915.8747,831.7286,681.7324,707.3054,1177.8136,1196.1446,1196.1446
Belarus,Fertilizers Manufacturing,Emissions (CO2),kt,3598.07,2734.0902,3830.654,4086.4308,3865.9028,6135.4156,7279.6503,7239.386,7205.5352,7692.8601,7793.2462,7910.4538,8288.6263,8135.1238,8135.1238
Bolivia (Plurinational State of),Fertilizers Manufacturing,Emissions (CO2),kt,223.0499,232.7394,222.4931,229.2018,225.6405,219.2062,218.4109,207.7031,212.3671,215.2068,211.1398,231.4072,18.853,145.7649,145.7649
Bosnia and Herzegovina,Fertilizers Manufacturing,Emissions (CO2),kt,107.5889,112.2627,76.8194,211.869,156.2762,117.4618,161.9524,176.3424,159.9077,120.0835,110.6044,30.3508,72.2268,141.6855,141.6855
Brazil,Fertilizers Manufacturing,Emissions (CO2),kt,5749.2546,5481.8274,5760.0853,6531.7745,6090.1558,5856.0093,5262.8827,5614.4986,5613.2661,4499.6121,4394.871,2577.4417,1838.9573,5793.3713,5793.3713
Bulgaria,Fertilizers Manufacturing,Emissions (CO2),kt,1.3547,1.4136,1.3514,1.3921,1.3705,1.3314,0.5973,0.8202,0.987,1.9137,2.247,2.7117,3.3222,2.1268,2.1268
Canada,Fertilizers Manufacturing,Emissions (CO2),kt,6193.8767,6486.4135,7633.4814,7804.2008,7522.0373,18418.5031,18424.0059,18754.3527,19917.303,19309.3723,14899.248,14897.4177,21376.647,19258.0816,19258.0816
