Area,Item,Element,Unit,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Fertilizers Manufacturing,Emissions (CO2),kt,29.4433,29.9814,28.6394,27.2354,27.8469,35.3094,35.5012,35.5549,38.2179,39.1,39.1
Afghanistan,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,29.4433,29.9814,28.6394,27.2354,27.8469,35.3094,35.5012,35.5549,38.2179,39.1,39.1
Algeria,Fertilizers Manufacturing,Emissions (N2O),kt,0.6478,0.9248,0.9558,0.9089,0.9293,0.8438,0.8522,0.8571,0.925,0.9499,0.9499
Algeria,Fertilizers Manufacturing,Emissions (CO2),kt,2291.3829,1810.6709,2998.5145,3249.0138,3600.7867,2156.7737,2222.074,2276.5693,2499.5067,2608.4117,2608.4117
Algeria,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,171.6548,245.0749,253.2796,240.8622,246.2709,223.6057,225.8237,227.1235,245.1168,251.7338,251.7338
Algeria,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,2463.0377,2055.7458,3251.794,3489.8761,3847.0575,2380.3793,2447.8977,2503.6928,2744.6234,2860.1456,2860.1456
Argentina,Fertilizers Manufacturing,Emissions (N2O),kt,0.2524,0.2452,0.2444,0.2131,0.274,0.3156,0.2188,0.2503,0.2596,0.2707,0.2707
Argentina,Fertilizers Manufacturing,Emissions (CO2),kt,949.6623,1093.8136,860.6136,753.7131,965.3688,1108.5953,778.3184,886.4727,872.0205,1169.2764,1169.2764
Argentina,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,66.8987,64.991,64.7551,56.4646,72.6028,83.6258,57.9786,66.3324,68.7945,71.7318,71.7318
Argentina,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1016.561,1158.8046,925.3687,810.1777,1037.9716,1192.2211,836.297,952.8051,940.8151,1241.0082,1241.0082
Australia,Fertilizers Manufacturing,Emissions (CO2),kt,725.4257,729.7466,752.0153,738.8421,779.6595,814.636,823.3277,828.6459,894.8855,919.6186,919.6186
Australia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,725.4257,729.7466,752.0153,738.8421,779.6595,814.636,823.3277,828.6459,894.8855,919.6186,919.6186
Bahrain,Fertilizers Manufacturing,Emissions (CO2),kt,405.2285,431.973,434.1593,412.8743,422.1453,500.4375,506.6732,510.7967,552.4964,568.6105,568.6105
Bahrain,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,405.2285,431.973,434.1593,412.8743,422.1453,500.4375,506.6732,510.7967,552.4964,568.6105,568.6105
Bangladesh,Fertilizers Manufacturing,Emissions (CO2),kt,861.683,896.1383,760.5067,764.6755,915.8747,831.7286,681.7324,707.3054,1177.8136,1196.1446,1196.1446
Bangladesh,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,861.683,896.1383,760.5067,764.6755,915.8747,831.7286,681.7324,707.3054,1177.8136,1196.1446,1196.1446
Belarus,Fertilizers Manufacturing,Emissions (N2O),kt,1.5577,1.5255,1.5084,1.4338,1.4615,1.4635,1.4498,2.4133,2.9123,2.3648,2.3648
Belarus,Fertilizers Manufacturing,Emissions (CO2),kt,3865.9028,6135.4156,7279.6503,7239.386,7205.5352,7692.8601,7793.2462,7910.4538,8288.6263,8135.1238,8135.1238
Belarus,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,412.7905,404.2673,399.7382,379.9623,387.2933,387.8357,384.1981,639.5205,771.7574,626.6715,626.6715
Belarus,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,4278.6933,6539.6829,7679.3885,7619.3483,7592.8285,8080.6959,8177.4443,8549.9743,9060.3837,8761.7953,8761.7953
Bolivia (Plurinational State of),Fertilizers Manufacturing,Emissions (CO2),kt,225.6405,219.2062,218.4109,207.7031,212.3671,215.2068,211.1398,231.4072,18.853,145.7649,145.7649
Bolivia (Plurinational State of),Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,225.6405,219.2062,218.4109,207.7031,212.3671,215.2068,211.1398,231.4072,18.853,145.7649,145.7649
Bosnia and Herzegovina,Fertilizers Manufacturing,Emissions (N2O),kt,0.1005,0.0734,0.0907,0.1253,0.1134,0.0848,0.0784,0.021,0.0508,0.0964,0.0964
Bosnia and Herzegovina,Fertilizers Manufacturing,Emissions (CO2),kt,156.2762,117.4618,161.9524,176.3424,159.9077,120.0835,110.6044,30.3508,72.2268,141.6855,141.6855
Bosnia and Herzegovina,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,26.6359,19.4438,24.027,33.2087,30.0518,22.4741,20.7633,5.5735,13.4625,25.5441,25.5441
Bosnia and Herzegovina,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,182.9121,136.9056,185.9795,209.5511,189.9595,142.5576,131.3677,35.9243,85.6894,167.2296,167.2296
Brazil,Fertilizers Manufacturing,Emissions (N2O),kt,1.8679,1.5587,1.7899,1.81,1.8773,1.4841,1.7079,1.245,1.2707,2.0122,2.0122
Brazil,Fertilizers Manufacturing,Emissions (CO2),kt,6090.1558,5856.0093,5262.8827,5614.4986,5613.2661,4499.6121,4394.871,2577.4417,1838.9573,5793.3713,5793.3713
Brazil,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,494.9924,413.0547,474.332,479.6442,497.4927,393.2958,452.593,329.9375,336.7363,533.2269,533.2269
Brazil,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,6585.1483,6269.064,5737.2146,6094.1428,6110.7588,4892.9079,4847.464,2907.3791,2175.6936,6326.5982,6326.5982
Bulgaria,Fertilizers Manufacturing,Emissions (N2O),kt,0.0032,0.0032,0.0023,0.0023,0.0025,0.0026,0.0027,0.0028,0.003,0.0032,0.0032
Bulgaria,Fertilizers Manufacturing,Emissions (CO2),kt,1.3705,1.3314,0.5973,0.8202,0.987,1.9137,2.247,2.7117,3.3222,2.1268,2.1268
Bulgaria,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,0.8591,0.8348,0.6098,0.6119,0.6583,0.7001,0.7192,0.7351,0.8053,0.8387,0.8387
Bulgaria,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,2.2296,2.1661,1.207,1.4321,1.6452,2.6139,2.9663,3.4469,4.1275,2.9655,2.9655
Canada,Fertilizers Manufacturing,Emissions (N2O),kt,3.0515,3.3629,3.4247,3.5319,5.5779,5.1291,5.5032,5.4699,6.2132,6.081,6.081
Canada,Fertilizers Manufacturing,Emissions (CO2),kt,7522.0373,18418.5031,18424.0059,18754.3527,19917.303,19309.3723,14899.248,14897.4177,21376.647,19258.0816,19258.0816
Canada,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,808.656,891.1592,907.5527,935.9657,1478.1377,1359.2115,1458.3552,1449.5269,1646.5049,1611.4669,1611.4669
Canada,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,8330.6932,19309.6623,19331.5586,19690.3184,21395.4406,20668.5838,16357.6031,16346.9446,23023.1519,20869.5484,20869.5484
Chile,Fertilizers Manufacturing,Emissions (N2O),kt,1.5211,1.5432,1.6029,1.5864,1.6855,1.7724,1.802,1.8238,1.98,2.0448,2.0448
Chile,Fertilizers Manufacturing,Emissions (CO2),kt,489.0075,497.7312,518.5113,514.5697,548.0852,577.6689,588.5861,596.9004,649.2188,671.6387,671.6387
Chile,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,403.0899,408.9599,424.7775,420.4058,446.6686,469.6892,477.5382,483.3165,524.7,541.8741,541.8741
