Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Russia,Fertilizers Manufacturing,Emissions (CO2),kt,16174.5888,16877.2244,20198.0027,21164.5487,20180.0637,19168.4337,23182.6723,23682.5232,25570.1455,27490.3495,26174.0596,26420.8021,29442.1664,29732.8632,29732.8632
Saudi Arabia,Fertilizers Manufacturing,Emissions (CO2),kt,7851.11,8032.6999,7835.0515,8173.3569,8823.511,9191.7106,7920.7455,9650.921,9867.6305,9316.6822,10172.4471,10298.1558,11182.5779,11551.1703,11551.1703
Senegal,Fertilizers Manufacturing,Emissions (CO2),kt,27.7632,33.1042,33.9752,37.3982,39.1784,40.3552,42.4945,42.5848,76.9307,155.9548,55.2442,9.8215,55.7953,58.0641,58.0641
Serbia,Fertilizers Manufacturing,Emissions (CO2),kt,201.7159,214.2247,294.9982,349.8283,392.386,515.8127,430.1957,383.4268,375.2366,290.4694,302.1619,320.306,291.1801,415.6333,415.6333
Slovakia,Fertilizers Manufacturing,Emissions (CO2),kt,0.0077,0.0084,0.0084,0.009,0.0093,0.0094,0.0097,0.0096,0.0102,0.0107,0.0108,0.0109,0.0119,0.0122,0.0122
Slovenia,Fertilizers Manufacturing,Emissions (CO2),kt,0.6832,0.7498,0.752,0.811,0.8342,0.8452,0.8767,0.8666,0.9482,0.9662,0.9814,0.9924,1.0764,1.1108,1.1108
Spain,Fertilizers Manufacturing,Emissions (CO2),kt,1797.0256,1994.1059,2134.2956,2293.6958,2469.0309,2487.2063,2566.443,2524.5552,2667.0618,2789.6916,2822.294,2843.2178,3073.245,3160.8567,3160.8567
Syrian Arab Republic,Fertilizers Manufacturing,Emissions (CO2),kt,290.2577,273.1003,273.5811,304.618,143.0845,46.2334,229.3369,224.0878,235.2485,244.6051,246.0761,246.5844,265.1927,271.4497,271.4497
Tajikistan,Fertilizers Manufacturing,Emissions (CO2),kt,16.8602,18.3925,18.539,20.083,20.7407,21.0913,21.9534,21.7698,23.1713,24.406,24.8522,25.1891,27.3825,28.3143,28.3143
Thailand,Fertilizers Manufacturing,Emissions (CO2),kt,579.6977,604.8802,578.2506,595.6863,586.4306,569.708,567.641,539.8121,551.9335,559.3139,379.2348,388.8662,427.2782,446.2121,446.2121
Trinidad and Tobago,Fertilizers Manufacturing,Emissions (CO2),kt,12568.8401,14456.8924,14835.2189,14185.3224,13359.3007,12295.0369,12387.196,12335.1367,12582.6127,13029.4498,12337.5083,13552.7455,16542.0925,17030.9856,17030.9856
Tunisia,Fertilizers Manufacturing,Emissions (CO2),kt,945.2224,1061.1774,1127.1209,520.5446,718.4577,1002.6074,1032.801,1014.3399,1070.0117,1117.6548,1129.2381,1136.2081,1226.7026,1260.2851,1260.2851
Turkiye,Fertilizers Manufacturing,Emissions (CO2),kt,1344.7893,1404.5748,1617.5636,1843.1928,1778.9303,1637.2962,1556.7078,1208.3172,1042.4537,1174.773,1380.3448,1677.6417,2439.8977,2121.0861,2121.0861
Ukraine,Fertilizers Manufacturing,Emissions (CO2),kt,384.5189,4233.8522,4221.3659,5905.4246,5782.763,15113.6536,10820.6677,8941.5325,7886.2622,5063.9996,4365.9534,7392.1287,10324.7675,9443.232,9443.232
United Arab Emirates,Fertilizers Manufacturing,Emissions (CO2),kt,1372.0432,1327.1379,1415.2861,1486.1316,1282.1775,2518.9307,3572.5991,3397.4503,3473.7394,2850.1723,2907.4924,2951.8171,3213.8385,3328.0048,3328.0048
UK and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),kt,949.7778,1037.3428,1035.9415,1112.7799,1140.3832,1151.4775,1190.7549,1173.7022,1242.3101,1301.7399,1319.1479,1331.0092,1440.8145,1483.9502,1483.9502
USA,Fertilizers Manufacturing,Emissions (CO2),kt,16170.3457,15766.7002,15989.096,17025.7935,15887.7358,20688.3474,21881.0618,21627.8728,22486.6366,25492.1166,27599.3629,28225.9716,27547.3291,28635.4046,28635.4046
Uruguay,Fertilizers Manufacturing,Emissions (CO2),kt,4.0888,4.4442,9.3468,6.789,7.0657,8.3716,8.3412,7.9323,8.1104,8.5615,8.7573,8.9131,9.7268,10.094,10.094
Uzbekistan,Fertilizers Manufacturing,Emissions (CO2),kt,2017.0292,2104.6504,2011.994,2072.6608,2116.0771,4993.333,5480.6756,5102.9487,5185.9768,743.6231,781.3723,842.2363,772.5498,2790.1595,2790.1595
Venezuela,Fertilizers Manufacturing,Emissions (CO2),kt,5181.2724,3735.8872,3521.4137,3868.6486,4045.8476,3092.6242,3349.8632,2657.4314,4231.9212,4449.7155,4523.7828,4578.2447,4969.9691,5132.3714,5132.3714
Viet Nam,Fertilizers Manufacturing,Emissions (CO2),kt,899.0305,936.5096,924.6022,963.7375,1392.8935,5556.8829,5642.5837,5233.133,5052.997,5393.953,5156.2687,5175.3903,5654.5288,5254.9818,5254.9818
