Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Nutrient potash K2O (total),Production,t,670206.8252341135,373711.8152246256,648885.7005657238,689646.7558139535,641344.0805427631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,Nutrient potash K2O (total),Import Quantity,t,0.0,0.14,0.33,0.0,201.6,90.53,3.93,61.84,103.13,36.94,17.97,46.29,149.55,114.39,3.67
Afghanistan,Nutrient potash K2O (total),Export Quantity,t,882.85,445.11,7.38,0.0,4.82,2.41,0.0,0.0,0.0,0.0,15.0,157.75,0.0,0.0,0.0
Albania,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Nutrient potash K2O (total),Import Quantity,t,1444.14,696.85,1514.12,2498.37,1147.75,1259.29,1041.7,1859.06,1932.49,1527.14,2299.64,5807.74,7170.0,7682.15,2867.23
Albania,Nutrient potash K2O (total),Export Quantity,t,0.0,0.0,32.66,13.32,14.85,11.56,9.34,7.13,4.91,0.0,16.71,0.0,1.61,1.77,5.4
Algeria,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Nutrient potash K2O (total),Import Quantity,t,19912.27,19606.89,28765.47,31730.69,34428.93,34464.1,42314.17,49322.84,28541.79,31554.14,30515.46,35858.55,38188.58,23620.06,19759.54
Algeria,Nutrient potash K2O (total),Export Quantity,t,270.13,18.0,6.0,0.0,3.0,9.0,6.0,0.04,0.0,0.0,7.2,42.15,0.0,0.0,0.0
Angola,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,Nutrient potash K2O (total),Import Quantity,t,7935.74,7116.33,7208.68,8183.57,14349.78,15509.19,9952.46,21219.87,17333.17,13660.98,10380.48,10807.16,11750.33,9426.61,23122.58
Angola,Nutrient potash K2O (total),Export Quantity,t,0.0,0.0,0.0,0.0,2.64,0.0,0.0,12.3,0.0,66.81,139.79,177.87,200.73,403.16,501.78
Antigua and Barbuda,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
