Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Nutrient phosphate P2O5 (total),Production,t,451776.9243770492,437242.16859477124,543257.9171288743,1563.0,460.0,1539.0,1541.0,1541.0,1541.0,1541.0,1541.0,1541.0,1541.0,1541.0,1541.0
Afghanistan,Nutrient phosphate P2O5 (total),Import Quantity,t,0.0,1000.14,909.7,5252.23,799.64,1484.13,3577.04,9345.87,7751.68,23644.55,13089.3,24910.89,23437.16,7240.23,11999.25
Afghanistan,Nutrient phosphate P2O5 (total),Export Quantity,t,882.85,445.11,7.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
Albania,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Nutrient phosphate P2O5 (total),Import Quantity,t,10585.7,9517.58,6471.31,9178.62,9136.35,11770.9,12000.72,9045.93,18452.85,10568.56,8497.55,12532.64,14188.94,15370.56,5455.0
Albania,Nutrient phosphate P2O5 (total),Export Quantity,t,23.0,23.0,87.34,802.44,54.35,11.56,9.34,7.13,4.91,0.0,0.0,0.0,4.61,1.77,5.4
Algeria,Nutrient phosphate P2O5 (total),Production,t,11580.0,17400.0,22800.0,25000.0,31200.0,27800.0,31900.0,28200.0,32400.0,32400.0,32400.0,32400.0,32400.0,32400.0,32400.0
Algeria,Nutrient phosphate P2O5 (total),Import Quantity,t,5718.5,32367.06,30986.21,26138.29,36665.38,46330.84,51550.19,41340.89,28505.48,30603.83,36916.27,66341.46,60846.83,28366.31,38028.16
Algeria,Nutrient phosphate P2O5 (total),Export Quantity,t,2320.53,18.0,6.0,1380.0,3.0,9.0,0.0,0.0,0.0,0.0,2760.0,3028.33,10920.0,6360.56,3571.42
Angola,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,Nutrient phosphate P2O5 (total),Import Quantity,t,4322.12,4257.86,4197.1,4183.66,7944.56,9444.51,7805.94,8160.01,9343.88,11670.42,6299.6,11385.72,9092.14,6614.52,18485.15
Angola,Nutrient phosphate P2O5 (total),Export Quantity,t,0.0,0.0,0.0,0.0,2.64,0.0,0.0,0.09,0.0,36.81,131.53,156.86,200.42,253.16,501.78
Antigua and Barbuda,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,Nutrient phosphate P2O5 (total),Import Quantity,t,9.08,15.37,3.72,6.72,8.36,10.4,8.51,10.56,6.66,6.5,2.47,12.45,17.95,11.58,7.49
Antigua and Barbuda,Nutrient phosphate P2O5 (total),Export Quantity,t,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,Nutrient phosphate P2O5 (total),Production,t,451776.9243770492,437242.16859477124,543257.9171288743,573903.4248780487,552980.0077294686,51600.0,68400.0,71000.0,80000.0,82800.0,82618.0,86540.0,90000.0,81778.2,75933.8
Argentina,Nutrient phosphate P2O5 (total),Import Quantity,t,437261.81,302043.78,557540.83,721179.73,515615.32,518265.21,542017.47,378606.1,688841.75,579033.93,658253.19,583149.86,796882.36,803663.06,530840.66
Argentina,Nutrient phosphate P2O5 (total),Export Quantity,t,5754.72,6498.61,11775.82,6975.14,6681.82,2587.65,19420.53,28128.03,70167.91,51965.7,0.0,0.0,7.29,0.0,442.92
Armenia,Nutrient phosphate P2O5 (total),Production,t,451776.9243770492,437242.16859477124,543257.9171288743,573903.4248780487,552980.0077294686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,Nutrient phosphate P2O5 (total),Import Quantity,t,32.69,86.27,339.63,148.51,324.01,480.3,1451.76,890.35,385.77,343.34,487.39,927.73,996.43,756.76,729.31
Armenia,Nutrient phosphate P2O5 (total),Export Quantity,t,3.84,0.0,0.0,0.13,0.0,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.99
Aruba,Nutrient phosphate P2O5 (total),Import Quantity,t,0.0,0.47,0.68,0.35,1.07,0.44,2.97,0.36,1.37,1.12,0.75,0.47,0.14,1.52,2.14
Aruba,Nutrient phosphate P2O5 (total),Export Quantity,t,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Nutrient phosphate P2O5 (total),Production,t,538752.0,540088.0,412475.0,572887.0,582856.0,305343.99,321334.69,451251.16,524512.42,464767.39,527600.0,500435.11,540401.61,652457.24,634946.49
Australia,Nutrient phosphate P2O5 (total),Import Quantity,t,480201.35,352824.21,589167.29,542249.77,501466.69,589837.89,695318.67,705004.93,788198.63,662468.94,668223.83,712989.24,703161.99,858506.3,766204.77
