Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Nutrient nitrogen N (total),Production,t,15324,13606,12022,17555,15776,15694,14416,14416,14416,14416,14416,14416,14416,14416,14416
Afghanistan,Nutrient nitrogen N (total),Import Quantity,t,4.68,1001.89,914.39,5411.94,1289.25,19251.96,59491.94,78099.97,82411.11,177394.89,106194.01,167962.78,141441.76,34723.11,12389.31
Afghanistan,Nutrient nitrogen N (total),Export Quantity,t,896.65,452.01,7.38,0,0,13.57,27.14,0,22.55,5.14,0.01,22.43,0,117.73,769.75
Albania,Nutrient nitrogen N (total),Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Nutrient nitrogen N (total),Import Quantity,t,18141.08,22787.71,24190.4,22631.02,27319.58,21559,8490.12,32125.1,27787.84,19513.26,23098.17,39325,37939.6,27167.16,14166.54
Albania,Nutrient nitrogen N (total),Export Quantity,t,11.73,0,245.24,155.97,29.56,11.56,9.34,7.13,4.91,1.7,10791.03,4754.42,11.21,461.8,13868.63
Algeria,Nutrient nitrogen N (total),Production,t,11040,13400,20800,19500,24500,68000,438300,777600,1043200,1043200,1043200,1043200,1043200,1043200,1043200
Algeria,Nutrient nitrogen N (total),Import Quantity,t,26481.77,43046.45,58610,51518.55,66009.62,53005.09,55420.79,60966.2,36635.09,34873.93,70905.28,69826.81,73874.41,35890.71,15511.09
Algeria,Nutrient nitrogen N (total),Export Quantity,t,68094.45,68510.07,96367.62,91527.57,111143.68,53484.88,437933.93,765725.92,1097907.32,706437.07,1423673.26,1693382.5,1939550.16,1883619.1,1970346.64
Angola,Nutrient nitrogen N (total),Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Nutrient nitrogen N (total),Import Quantity,t,8862.24,10395.95,10935.51,12552.26,19407.29,20416.57,27605.69,49072.47,22145.13,26721.76,21942.76,18338.69,47152.42,20711.05,31273.08
