Area,Item,Unit,Element,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,744.8,784,815.36,823.2,803.6,803.6,862.4,642.88,466.48,429.0524,460.754,499.9176,578.4156,553.5908,501.76
Algeria,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1.876,1.7192,1.5932,1.5596,1.4112,1.4112,1.4112,1.2264,1.3496,1.3804,1.3188,1.3496,1.3496,1.3412,1.3468
Angola,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,129.7604,185.864,187.4152,204.1368,218.7528,231.3584,235.732,235.8188,125.972,85.5512,65.9904,66.3824,66.9452,67.2056,67.2056
Argentina,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1430.4864,1519.392,1690.8528,2018.3688,1845.3176,1824.368,1906.688,1823.5056,1628.6816,1600.144,1553.6528,1436.9544,1452.752,1567.944,1458.7888
Australia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,20.4456,63.4508,166.9724,668.4048,909.4736,1002.288,676.424,614.4376,234.8332,725.0376,539.3528,67.2084,44.1644,397.642,551.6812
Azerbaijan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,10.4832,13.5016,12.8576,13.8292,13.2104,16.6124,8.5232,9.3772,19.6784,40.0064,31.626,31.43,23.5284,23.9344,24.5336
Bangladesh,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,31392.13,31599.1508,32087.5128,32084.7296,31792.4936,31650.5504,31772.0144,31676.2152,30617.4512,32326.868,32048.548,32050.0656,31777.8692,32566.0524,32542.1908
Belize,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2.6572,3.5896,3.612,3.4916,2.1252,3.0772,2.7524,2.3408,2.66,3.1136,2.1308,1.8956,2.4164,2.072,2.2792
Benin,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,26.1016,31.5756,36.8928,43.7444,51.5312,86.2484,58.4752,51.198,64.5624,61.9108,105.9856,80.2928,81.9952,99.372,105.714
Bhutan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,62.37,76.426,73.514,78.3412,68.138,68.5916,65.6012,64.3468,69.2132,68.3172,48.5968,39.5472,40.8688,31.3824,29.5904
Bolivia (Plurinational State of),Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,304.5868,366.1364,380.7048,349.4148,308.7028,325.948,342.8516,326.06,321.2524,338.7356,332.7632,367.0716,345.9708,350.3388,398.3056
Brazil,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,5185.04,5223.89,4951.8252,5007.1784,4389.4816,4280.1024,4257.7752,3889.4884,3535.7896,3649.0412,3405.2256,3110.3996,3051.5436,3072.4344,2952.8072
Brunei Darussalam,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,6.8068,6.6612,7.7784,7.294,7.7784,6.3196,6.3196,6.3196,6.8068,6.3196,5.8352,5.348,6.3196,7.294,7.294
Bulgaria,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,61.0568,65.1672,93.9008,92.442,77.4004,80.0772,86.576,97.2944,93.9848,81.802,86.24,92.6688,96.824,94.472,82.9472
Burkina Faso,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,558.9472,643.636,933.1644,950.824,954.982,968.8532,1006.5944,995.8088,1187.2952,1151.9032,1123.038,1236.8244,1407.6188,1542.4136,1384.866
Burundi,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,43.12,47.04,57.9544,66.7352,60.1944,42.4732,46.5108,67.1216,124.9528,97.0228,97.6332,115.6344,111.6388,99.8564,106.7052
Cambodia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,11419.4136,11687.0096,12132.2908,12971.3556,13141.842,12973.4136,13235.5916,13222.482,13545.8344,13939.1,14192.5392,14262.4524,14284.3008,15284.9452,14432.8688
Cameroon,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,141.1424,96.0624,274.3524,253.4196,250.656,326.7992,248.7268,444.486,258.048,266.6888,242.9896,268.1336,267.1228,301.028,307.2104
Central African Republic,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,49.616,51.1028,20.0032,19.936,20.2328,14.6216,17.9508,14.252,16.2512,16.2484,16.898,17.5728,106.2768,89.5636,72.4836
Chad,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,217.2744,244.4288,271.9304,236.7512,285.2976,426.8264,379.6856,337.1424,357.5124,374.416,364.2184,376.9612,370.7928,360.808,347.1328
Chile,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,129.8192,146.664,151.9112,155.5904,148.5904,130.0656,138.7232,146.874,164.3768,129.6764,182.8484,162.5316,163.4752,142.2372,128.282
China,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,145619.6924,147808.738,149248.4392,150489.0128,151198.8464,152396.0088,152672.9624,152668.1128,152593.2324,152603.3656,149844.4416,147380.9876,149256.6656,148283.3072,146042.442
"China, mainland",Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,144334.0136,146511.3468,148005.718,149193.3296,149869.9972,151019.2488,151291.686,151384.6292,151197.76,151203.612,148460.8468,146004.7316,147922.6112,147141.6912,144824.498
"China, Taiwan Province of",Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1285.6788,1297.3912,1242.7212,1295.6832,1328.8492,1376.76,1381.2764,1283.4836,1395.4724,1399.7536,1383.5948,1376.256,1334.0544,1141.616,1217.944
Colombia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2863.4032,3064.0456,2798.0932,2945.5244,2793.4704,3084.7096,2676.2792,2940.252,3542.4564,3842.9804,3422.944,3428.7456,3805.8496,3856.9048,3358.5468
Comoros,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,10.2788,7.3528,0.056,0.1008,0.056,0.0784,0.2632,0.238,0.21,0.1848,0.1848,0.1316,0.1316,0.1036,0.1316
Congo,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,4.116,4.508,4.6844,3.8808,3.8584,3.8696,3.9256,3.9928,4.0768,4.0376,3.9452,3.752,3.5896,3.3544,3.3684
Costa Rica,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,42.378,49.6496,62.6948,61.7792,44.3156,52.0548,36.0136,38.3348,37.8,30.0496,30.324,27.2692,29.372,30.7468,21.3024
C̫te d'Ivoire,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,313.3928,322.4816,337.4392,324.4724,567.3584,673.4028,703.0184,721.2688,667.0468,675.5644,627.9728,573.5128,451.6792,497.63,588.1092
Cuba,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1219.2292,1691.4884,1383.2028,1631.0812,1589.2296,1550.9312,1345.1256,879.382,1097.726,880.8716,1048.3368,918.134,584.8332,521.5,415.6348
Democratic People's Republic of Korea,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2843.4308,2836.5008,2841.4876,2846.4716,2806.5912,2726.8304,2617.1572,2319.0524,2336.3872,2368.6908,2350.4096,2322.236,2344.4484,2529.7944,2445.6208
Democratic Republic of the Congo,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,279.384,279.6948,664.5268,624.512,567.7644,712.2892,895.7704,897.4756,924.9912,960.4336,951.9412,948.0912,879.648,946.414,1258.4768
Dominican Republic,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1239.2072,1398.4348,1370.9136,1342.5468,1236.2532,1232.1568,1253.5684,1224.8796,1261.4756,1339.8644,1479.8168,1373.1984,1407.3976,1468.978,1520.0108
Ecuador,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2086.4648,2321.4996,2311.428,1940.4,2182.656,2333.184,2082.108,2205.588,2153.256,2105.628,1754.004,1512.924,1839.852,2000.964,1986.264
Egypt,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,5841.5224,4511.6624,3602.676,4650.5704,4863.0344,4681.2556,4497.8388,4005.0864,4458.5128,4309.5556,2830.828,4300.6012,3914.9908,3639.5464,5067.1152
El Salvador,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3.4776,4.564,3.8528,3.6624,3.472,4.6144,5.5664,4.7516,3.1248,3.5112,2.7888,2.7104,2.5144,2.2232,2.6376
Eswatini,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0.3472,0.35,0.3808,0.4144,0.4452,0.476,0.5096,0.5264,0.5376,0.5964,0.6412,0.6188,0.6048,0.6104,0.616
Ethiopia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3.556,187.138,117.0736,120.1452,163.898,132.5744,183.582,178.1808,189.798,208.18,248.3796,225.6968,245.1988,235.2,235.2
Fiji,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,19.9024,15.8928,9.9568,10.878,7.4704,8.428,4.8944,8.2712,11.3008,11.8664,9.212,7.5096,9.1924,10.0212,12.7904
France,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,273.2352,337.1088,336.2604,327.0736,313.0036,289.408,236.6728,228.1496,235.8552,241.9788,187.4068,213.0912,202.0844,169.7668,165.956
Gabon,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1.0164,1.05,1.0808,1.1144,1.2152,1.2152,1.1732,1.1648,1.176,1.1928,1.2264,1.2236,1.204,1.2124,1.218
Gambia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,239.904,515.088,607.8744,296.5368,448.7056,468.3784,467.7148,601.1348,464.9904,464.6656,319.0236,458.64,430.5084,251.244,327.5272
Ghana,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,249.8776,305.4968,340.998,371.5796,356.6164,406.2464,421.4784,438.9196,458.8416,483.4424,387.6096,530.6112,547.5456,671.7312,573.888
Greece,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,354.6536,395.6036,424.0936,436.2876,434.4396,396.55,382.3596,409.85,453.7036,436.0748,428.2992,421.3832,509.3032,492.3688,406.1428
Guatemala,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,6.1376,7.7812,8.218,8.33,8.4392,8.6016,8.7668,8.7668,8.876,8.3888,8.5848,6.0452,7.0616,7.5376,9.7608
Guinea,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2460.5168,2699.0964,4539.7632,4799.7152,4951.8896,5087.0736,5236.2828,5283.5692,5226.1496,5592.4428,5759.3256,5473.146,5180.3248,5110.392,5041.4
Guinea-Bissau,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,161.1064,175.0392,196.9996,183.1004,223.9692,264.6,166.6,214.2252,233.5648,207.8804,223.1124,237.846,233.5284,248.2424,255.3712
Guyana,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,892.2704,929.5104,978.6672,1045.6992,1068.0432,1227.4304,1380.8592,1422.568,1118.6896,1290.7384,1243.816,1324.2544,1381.604,1160.3984,1148.4816
Haiti,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,166.208,180.32,190.3608,188.7648,188.2384,184.422,164.8388,147.7728,189.2688,192.1696,465.9788,185.5308,186.6928,186.1272,172.1048
Honduras,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,7.4816,7.126,5.7736,6.6808,7.056,6.328,15.372,14.5768,14.9268,11.9756,11.8356,12.5132,15.8004,13.706,13.8208
Hungary,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,19.866,21.2632,15.68,21.952,23.2064,20.6976,18.816,21.9744,22.7976,21.6776,22.9712,20.776,23.4416,21.3248,18.2672
India,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,134593.9812,123897.0796,126687.5372,130079.4768,126367.1416,130451.7452,130375.0448,128569.7168,130030.4124,129382.1144,130512.3064,129051.7872,135277.6012,136784.97,137143.552
Indonesia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,69429.5728,69725.572,69838.0508,68985.574,68618.5332,68855.3348,67919.9752,67422.698,62751.8304,64527.8256,67357.1864,63212.9204,63090.8964,61637.6964,61879.65
Iran (Islamic Republic of),Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3242.8816,3297.6076,3468.108,3261.8208,3508.008,3477.2164,3317.7816,3261.6276,3668.238,2442.5408,2630.2248,3538.78,3042.9196,2666.7704,2461.76
Iraq,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,664.44,430.612,376.1156,515.4408,623.0532,751.1336,618.9596,191.2176,295.8116,425.5776,42.5124,1000.9552,796.4964,754.0932,30.0972
Italy,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3163.9104,3365.712,3495.5424,3478.608,3317.0536,3048.4608,3097.584,3208.0944,3304.084,3304.084,3064.9864,3105.0628,3207.9404,3203.9896,3082.3436
Jamaica,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0.0952,0.1148,0.1736,0.1372,0.1932,0.0308,0.0196,0.0112,0.0084,0.0028,0,0.0028,0,0,0
Japan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,9471.0924,9453.6288,9564.2316,9377.9532,9407.0592,9436.1652,9366.3108,9249.8868,9139.284,9063.6084,8557.164,8557.164,8510.5944,8172.9648,8717.2456
Kazakhstan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,464.6572,534.8168,578.5136,574.4228,572.544,550.3848,586.3732,607.7652,580.4764,643.132,624.5484,627.5668,629.4568,594.7256,541.1896
Kenya,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,32.7992,42.784,39.5556,54.9472,58.0748,61.4432,55.6444,57.6996,57.5008,59.5672,50.8928,48.9832,55.4204,50.0752,58.044
Kyrgyzstan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,38.1584,38.5756,38.9816,38.7044,44.0664,48.6444,49.616,52.9956,60.9532,65.8756,69.8292,69.5688,73.4048,76.3392,71.6128
Lao People's Democratic Republic,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2163.028,2251.8748,2352.434,2248.2684,2568.8096,2451.68,2635.024,2655.1504,2677.64,2630.3396,2333.3408,2340.2904,2535.6128,2361.1672,2250.8808
Liberia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,62.5632,81.522,82.726,81.6844,76.0872,71.1172,74.7348,86.3212,102.8384,76.916,78.3972,80.6736,80.0156,80.0156,84.6244
Madagascar,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,6359.8864,6417.4908,6476.2404,5848.752,6177.1976,5024.2892,6060.936,5601.7304,6262.2924,6182.1648,7333.2224,7930.79,8297.1448,7927.808,7918.9208
Malawi,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,123.7236,125.3756,115.8332,120.6548,117.8576,127.9404,132.104,128.8924,105.2044,127.1676,125.384,138.3228,142.6152,148.96,148.5428
Malaysia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3289.3672,3381.1736,3395.9828,3444.2352,3429.3532,3364.8972,3078.8464,3414.3928,3450.5184,3434.3764,3506.678,3366.9272,3230.7828,3245.9532,3198.286
Mali,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,945.8008,1032.4972,1207.234,1129.8616,1180.116,1291.682,1341.0012,1493.7944,1635.9,1505.0336,1900.2564,1812.3028,1760.1976,1713.1016,1740.7068
Mauritania,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,135.24,105.2744,201.5048,243.1184,290.08,320.656,447.6948,346.1388,340.9616,462.56,486.08,572.32,533.12,603.68,556.64
Mauritius,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0,0,0,0.5936,1.5316,1.5064,2.0412,1.6856,0.798,0.2772,0.0644,0.0308,0,0,0
Mexico,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,161.6384,174.3168,134.1956,109.4072,102.2028,106.5148,130.6396,130.6256,133.1148,133.5908,145.1324,123.8132,152.8548,129.4776,121.1644
Micronesia (Federated States of),Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0.5852,0.5936,0.602,0.6104,0.5908,0.6244,0.644,0.63,0.6328,0.6328,0.6356,0.6412,0.6412,0.6412,0.644
Morocco,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,50.176,61.152,58.016,19.9136,71.736,39.2,34.5492,65.1476,59.0128,62.8208,63.434,62.5072,45.3768,59.2312,49.5488
Mozambique,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,609.364,356.72,444.122,468.006,712.264,791.252,737.94,609.56,640.92,637,686,529.2,613.48,626.206,568.4
Myanmar,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,35397.2528,35309.6156,35108.0464,33158.0844,30624.4512,30467.1416,30101.2488,29663.494,29464.1172,29558.3288,31327.7524,30327.3572,29928.6008,30863.266,30232.2692
Nepal,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,4562.264,4343.3768,4387.908,4490.5812,4165.3388,4359.978,4179.3416,3996.2636,4552.0888,4308.9424,4374.0312,4277.7728,4320.4616,4331.908,4248.1124
Nicaragua,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,55.7956,57.8228,69.2384,78.6968,86.94,58.6964,51.884,42.7448,52.4804,53.2336,54.6896,57.946,58.0104,60.7712,62.0424
Niger,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,43.9404,49.882,91.7756,61.1156,46.0936,59.1948,70.4592,57.3944,64.5064,65.3156,82.2052,73.3712,68.9304,82.9556,88.9448
Nigeria,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,7301.8792,5630.8448,7457.0804,6956.74,8778.854,8986.0316,9447.4492,9568.9608,12571.9132,13631.9512,12462.576,12650.0584,12859.826,13243.006,14039.7152
North Macedonia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,20.2748,24.4608,32.34,35.28,36.5036,36.5344,40.5636,39.0824,39.5136,25.6676,25.2616,27.2916,24.9088,24.3908,24.4132
Pakistan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,11613.392,11301.752,9271.976,10079.104,9050.496,10933.5436,11331.3312,10738.8204,10678.1304,11370.3324,11015.3176,11893.1204,13075.4932,13866.4876,11666.858
Panama,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,39.4548,39.3372,41.258,38.6792,33.8408,36.4756,30.6628,36.2124,35.7784,36.5344,37.0244,38.08,39.1496,37.9428,37.2596
Papua New Guinea,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2.6572,2.6488,2.6964,2.6796,2.6796,2.6796,2.6824,2.6964,2.7132,2.702,2.6936,2.7272,2.7244,2.7272,2.73
Paraguay,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,132.7704,196,233.1448,308.1344,313.6,384.16,470.4,501.76,509.6,548.8,556.64,635.04,705.6,697.76,666.4
Peru,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2501.1,2664.6256,2559.5528,2368.2596,2574.4348,2605.5988,2511.5384,2630.9528,2729.0816,2807.1316,2884.084,2729.0816,2745.6016,2799.5996,2728.3172
Philippines,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,41780.2616,42457.8644,40788.9972,42498.4448,43935.6484,44460.5308,44400.3952,43618.6968,42680.19,45076.15,44969.3412,43574.3168,44205.77,45013.0996,45007.6676
Portugal,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,371.6244,401.7692,410.942,443.6236,439.9276,425.8576,405.776,411.2528,411.3508,408.4584,414.1872,406.8484,366.0664,414.3272,384.692
Puerto Rico,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0,0,0,0,0,0,0.1456,0.574,0.2408,0.3192,0.378,0.3136,0.336,0.3416,0.3304
Republic of Korea,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,5502.3052,5435.8892,5245.394,5020.4784,4993.1308,4895.8336,4795.1764,4700.1416,4578.9548,4437.7116,4337.5164,4291.3052,4271.4196,4306.9656,4275.0764
Romania,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,77.7504,104.6332,97.2384,99.3412,88.6228,90.7788,99.7164,86.7664,73.9704,71.54,64.68,58.2512,47.04,42.6496,25.7152
Russian Federation,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1257.536,1391.2696,1574.8824,1624.6188,1502.144,1481.6116,1533.1288,1559.3844,1597.9712,1455.4876,1412.5888,1495.018,1536.1304,1460.7404,1330.14
Rwanda,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,36.1704,28.2884,25.4324,28.5992,28.8148,34.4344,46.5892,59.2004,65.5228,61.9024,64.2488,64.4756,57.9852,62.0844,63.2156
Saudi Arabia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0,0,0,0,0,0,0,0,0,0.9716,0.9968,1.8032,2.6432,2.6572,2.6656
Senegal,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,245.644,273.2016,288.5288,213.9872,230.748,212.7524,264.5468,465.108,555.6628,599.6312,634.3232,677.3676,791.3052,746.746,729.9292
Sierra Leone,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,872.5024,915.6504,1007.2132,1107.9348,1316.98,1231.7648,1360.6264,1109.78,1404.0516,1432.1356,2145.3684,1103.942,1108.8196,1732.6456,1263.1836
Solomon Islands,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,7.2352,7.2352,8.232,8.1256,8.4084,8.8984,9.4444,9.5816,9.3072,9.6432,9.5116,9.4892,9.548,9.5144,9.5172
Somalia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,7.7252,4.312,6.468,4.704,4.312,5.2444,1.176,5.488,2.94,3.3432,3.9228,3.402,3.556,3.6288,3.528
South Africa,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,9.2792,9.3856,9.2792,9.198,8.624,9.016,8.988,8.8564,8.8004,8.7276,8.6492,8.5736,8.5092,8.4364,8.3664
South Sudan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,6732.067885,6707.363393,6883.785653,6857.713823,0,0,0,67.8132,62.7508,57.6632,58.9876,109.312,116.1972,120.414,120.414
Spain,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1356.1632,1683.5616,1724.2596,1726.858,1592.1024,1580.544,1558.2336,1542.3016,1542.0468,1518.5072,1481.9,1458.758,1440.2696,1195.0036,790.8376
