Area,Item,Unit,Element,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Kyrgyzstan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.3628,1.3777,1.3922,1.3823,1.5738,1.7373,1.772,1.8927,2.1769,2.3527,2.4939,2.4846,2.6216,2.7264,2.5576
Lao People's Democratic Republic,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,77.251,80.4241,84.0155,80.2953,91.7432,87.56,94.108,94.8268,95.63,93.9407,83.3336,83.5818,90.5576,84.3274,80.3886
Liberia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.2344,2.9115,2.9545,2.9173,2.7174,2.5399,2.6691,3.0829,3.6728,2.747,2.7999,2.8812,2.8577,2.8577,3.0223
Madagascar,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,227.1388,229.1961,231.2943,208.884,220.6142,179.4389,216.462,200.0618,223.6533,220.7916,261.9008,283.2425,296.3266,283.136,282.8186
Malawi,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.4187,4.4777,4.1369,4.3091,4.2092,4.5693,4.718,4.6033,3.7573,4.5417,4.478,4.9401,5.0934,5.32,5.3051
Malaysia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,117.4774,120.7562,121.2851,123.0084,122.4769,120.1749,109.9588,121.9426,123.2328,122.6563,125.2385,120.2474,115.3851,115.9269,114.2245
Mali,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,33.7786,36.8749,43.1155,40.3522,42.147,46.1315,47.8929,53.3498,58.425,53.7512,67.8663,64.7251,62.8642,61.1822,62.1681
Mauritania,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.83,3.7598,7.1966,8.6828,10.36,11.452,15.9891,12.3621,12.1772,16.52,17.36,20.44,19.04,21.56,19.88
Mauritius,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0,0,0,0.0212,0.0547,0.0538,0.0729,0.0602,0.0285,0.0099,0.0023,0.0011,0,0,0
Mexico,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.7728,6.2256,4.7927,3.9074,3.6501,3.8041,4.6657,4.6652,4.7541,4.7711,5.1833,4.4219,5.4591,4.6242,4.3273
Micronesia (Federated States of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0209,0.0212,0.0215,0.0218,0.0211,0.0223,0.023,0.0225,0.0226,0.0226,0.0227,0.0229,0.0229,0.0229,0.023
Morocco,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.792,2.184,2.072,0.7112,2.562,1.4,1.2339,2.3267,2.1076,2.2436,2.2655,2.2324,1.6206,2.1154,1.7696
Mozambique,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,21.763,12.74,15.8615,16.7145,25.438,28.259,26.355,21.77,22.89,22.75,24.5,18.9,21.91,22.3645,20.3
Myanmar,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1264.1876,1261.0577,1253.8588,1184.2173,1093.7304,1088.1122,1075.0446,1059.4105,1052.2899,1055.6546,1118.8483,1083.1199,1068.8786,1102.2595,1079.7239
Nepal,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,162.938,155.1206,156.711,160.3779,148.7621,155.7135,149.2622,142.7237,162.5746,153.8908,156.2154,152.7776,154.3022,154.711,151.7183
Nicaragua,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.9927,2.0651,2.4728,2.8106,3.105,2.0963,1.853,1.5266,1.8743,1.9012,1.9532,2.0695,2.0718,2.1704,2.2158
Niger,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.5693,1.7815,3.2777,2.1827,1.6462,2.1141,2.5164,2.0498,2.3038,2.3327,2.9359,2.6204,2.4618,2.9627,3.1766
Nigeria,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,260.7814,201.1016,266.3243,248.455,313.5305,320.9297,337.4089,341.7486,448.9969,486.8554,445.092,451.7878,459.2795,472.9645,501.4184
North Macedonia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.7241,0.8736,1.155,1.26,1.3037,1.3048,1.4487,1.3958,1.4112,0.9167,0.9022,0.9747,0.8896,0.8711,0.8719
Pakistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,414.764,403.634,331.142,359.968,323.232,390.4837,404.6904,383.5293,381.3618,406.0833,393.4042,424.7543,466.9819,495.2317,416.6735
Panama,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.4091,1.4049,1.4735,1.3814,1.2086,1.3027,1.0951,1.2933,1.2778,1.3048,1.3223,1.36,1.3982,1.3551,1.3307
Papua New Guinea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0949,0.0946,0.0963,0.0957,0.0957,0.0957,0.0958,0.0963,0.0969,0.0965,0.0962,0.0974,0.0973,0.0974,0.0975
Paraguay,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.7418,7,8.3266,11.0048,11.2,13.72,16.8,17.92,18.2,19.6,19.88,22.68,25.2,24.92,23.8
Peru,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,89.325,95.1652,91.4126,84.5807,91.9441,93.0571,89.6978,93.9626,97.4672,100.2547,103.003,97.4672,98.0572,99.9857,97.4399
Philippines,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1492.1522,1516.3523,1456.7499,1517.8016,1569.1303,1587.8761,1585.7284,1557.8106,1524.2925,1609.8625,1606.0479,1556.2256,1578.7775,1607.6107,1607.4167
Portugal,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,13.2723,14.3489,14.6765,15.8437,15.7117,15.2092,14.492,14.6876,14.6911,14.5878,14.7924,14.5303,13.0738,14.7974,13.739
Puerto Rico,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0,0,0,0,0,0,0.0052,0.0205,0.0086,0.0114,0.0135,0.0112,0.012,0.0122,0.0118
Republic of Korea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,196.5109,194.1389,187.3355,179.3028,178.3261,174.8512,171.2563,167.8622,163.5341,158.4897,154.9113,153.2609,152.5507,153.8202,152.6813
Romania,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.7768,3.7369,3.4728,3.5479,3.1651,3.2421,3.5613,3.0988,2.6418,2.555,2.31,2.0804,1.68,1.5232,0.9184
Russian Federation,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,44.912,49.6882,56.2458,58.0221,53.648,52.9147,54.7546,55.6923,57.0704,51.9817,50.4496,53.3935,54.8618,52.1693,47.505
Rwanda,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.2918,1.0103,0.9083,1.0214,1.0291,1.2298,1.6639,2.1143,2.3401,2.2108,2.2946,2.3027,2.0709,2.2173,2.2577
Saudi Arabia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0,0,0,0,0,0,0,0,0,0.0347,0.0356,0.0644,0.0944,0.0949,0.0952
Senegal,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.773,9.7572,10.3046,7.6424,8.241,7.5983,9.4481,16.611,19.8451,21.4154,22.6544,24.1917,28.2609,26.6695,26.0689
Sierra Leone,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,31.1608,32.7018,35.9719,39.5691,47.035,43.9916,48.5938,39.635,50.1447,51.1477,76.6203,39.4265,39.6007,61.8802,45.1137
Solomon Islands,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2584,0.2584,0.294,0.2902,0.3003,0.3178,0.3373,0.3422,0.3324,0.3444,0.3397,0.3389,0.341,0.3398,0.3399
Somalia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2759,0.154,0.231,0.168,0.154,0.1873,0.042,0.196,0.105,0.1194,0.1401,0.1215,0.127,0.1296,0.126
South Africa,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.3314,0.3352,0.3314,0.3285,0.308,0.322,0.321,0.3163,0.3143,0.3117,0.3089,0.3062,0.3039,0.3013,0.2988
South Sudan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,248.5811992,247.6689873,252.0998983,253.2206678,250.5585227,252.8567639,251.6775908,2.4219,2.2411,2.0594,2.1067,3.904,4.1499,4.3005,4.3005
Spain,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,48.4344,60.1272,61.5807,61.6735,56.8608,56.448,55.6512,55.0822,55.0731,54.2324,52.925,52.0985,51.4382,42.6787,28.2442
Sri Lanka,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,112.3333,100.5363,113.1192,116.3932,113.787,126.7358,93.9851,129.1895,121.7563,84.4563,111.049,102.1563,113.7639,120.1862,118.8678
Sudan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,248.5811992,247.6689873,252.0998983,253.2206678,1.0584,1.0587,2.1865,1.0584,0.9996,1.6464,1.5918,1.6156,1.6398,1.3356,1.5054
Suriname,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,12.2231,15.2578,14.9948,15.9404,14.3861,16.3167,17.4191,16.5894,17.5596,16.6051,15.7494,16.8518,16.1946,15.9211,15.6628
Tajikistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.2554,3.2001,3.2649,2.904,2.8963,2.5758,2.4415,2.5868,3.0064,2.7534,2.599,2.7242,2.8354,2.8574,2.7623
Thailand,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1708.6841,1781.9185,1908.4075,1912.2969,1912.3197,1868.7425,1705.7051,1554.254,1713.2344,1714.4656,1702.9891,1569.3902,1750.3634,1785.6303,1836.7423
Timor-Leste,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.4157,7.1917,6.7399,6.5579,7.7239,5.1632,5.2524,4.2446,3.5501,4.2339,3.135,4.1176,3.4876,4.9408,5.7006
Togo,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.4087,0.5119,0.5309,0.5008,1.0778,1.0331,0.9396,0.9139,0.9286,0.9452,0.9722,1.0044,1.0628,1.0991,1.1195
Trinidad and Tobago,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2749,0.2461,0.2497,0.2942,0.3049,0.3159,0.4183,0.4184,0.262,0.1789,0.068,0.081,0.0965,0.0462,0.0163
TÃ¼rkiye,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,27.858,27.0043,27.7105,27.8272,33.5059,30.9658,31.0464,32.4397,32.4957,30.6614,33.6384,35.3973,35.1114,36.2531,33.7431
Turkmenistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,6.1324,4.0883,3.9564,3.319,15.8894,11.1777,9.1266,7.2149,4.2635,4.2489,4.2647,4.64,4.4799,4.28,4.2595
Uganda,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.96,6.02,6.09,6.3,6.44,6.51,6.65,6.6694,5.8674,5.005,5.1921,4.3125,9.4915,18.2127,18.2
Ukraine,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.544,6.86,8.204,8.288,7.224,6.776,2.856,3.276,3.36,3.556,3.528,2.94,3.136,2.828,0.196
