Area,Item,Unit,Element,Source,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,28.7,28.7,30.8,22.96,16.66,15.3233,16.4555,17.8542,20.6577,19.7711,17.92
Afghanistan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,803.6,803.6,862.4,642.88,466.48,429.0524,460.754,499.9176,578.4156,553.5908,501.76
Algeria,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0504,0.0504,0.0504,0.0438,0.0482,0.0493,0.0471,0.0482,0.0482,0.0479,0.0481
Algeria,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1.4112,1.4112,1.4112,1.2264,1.3496,1.3804,1.3188,1.3496,1.3496,1.3412,1.3468
Angola,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,7.8126,8.2628,8.419,8.4221,4.499,3.0554,2.3568,2.3708,2.3909,2.4002,2.4002
Angola,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,218.7528,231.3584,235.732,235.8188,125.972,85.5512,65.9904,66.3824,66.9452,67.2056,67.2056
Argentina,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,65.9042,65.156,68.096,65.1252,58.1672,57.148,55.4876,51.3198,51.884,55.998,52.0996
Argentina,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1845.3176,1824.368,1906.688,1823.5056,1628.6816,1600.144,1553.6528,1436.9544,1452.752,1567.944,1458.7888
Australia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,32.4812,35.796,24.158,21.9442,8.3869,25.8942,19.2626,2.4003,1.5773,14.2015,19.7029
Australia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,909.4736,1002.288,676.424,614.4376,234.8332,725.0376,539.3528,67.2084,44.1644,397.642,551.6812
Azerbaijan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.4718,0.5933,0.3044,0.3349,0.7028,1.4288,1.1295,1.1225,0.8403,0.8548,0.8762
Azerbaijan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,13.2104,16.6124,8.5232,9.3772,19.6784,40.0064,31.626,31.43,23.5284,23.9344,24.5336
Bangladesh,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1135.4462,1130.3768,1134.7148,1131.2934,1093.4804,1154.531,1144.591,1144.6452,1134.9239,1163.0733,1162.2211
Bangladesh,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,31792.4936,31650.5504,31772.0144,31676.2152,30617.4512,32326.868,32048.548,32050.0656,31777.8692,32566.0524,32542.1908
Belize,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0759,0.1099,0.0983,0.0836,0.095,0.1112,0.0761,0.0677,0.0863,0.074,0.0814
Belize,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2.1252,3.0772,2.7524,2.3408,2.66,3.1136,2.1308,1.8956,2.4164,2.072,2.2792
Benin,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.8404,3.0803,2.0884,1.8285,2.3058,2.2111,3.7852,2.8676,2.9284,3.549,3.7755
Benin,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,51.5312,86.2484,58.4752,51.198,64.5624,61.9108,105.9856,80.2928,81.9952,99.372,105.714
Bhutan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.4335,2.4497,2.3429,2.2981,2.4719,2.4399,1.7356,1.4124,1.4596,1.1208,1.0568
Bhutan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,68.138,68.5916,65.6012,64.3468,69.2132,68.3172,48.5968,39.5472,40.8688,31.3824,29.5904
Bolivia (Plurinational State of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,11.0251,11.641,12.2447,11.645,11.4733,12.0977,11.8844,13.1097,12.3561,12.5121,14.2252
Bolivia (Plurinational State of),Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,308.7028,325.948,342.8516,326.06,321.2524,338.7356,332.7632,367.0716,345.9708,350.3388,398.3056
Brazil,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,156.7672,152.8608,152.0634,138.9103,126.2782,130.3229,121.6152,111.0857,108.9837,109.7298,105.4574
Brazil,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,4389.4816,4280.1024,4257.7752,3889.4884,3535.7896,3649.0412,3405.2256,3110.3996,3051.5436,3072.4344,2952.8072
Brunei Darussalam,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2778,0.2257,0.2257,0.2257,0.2431,0.2257,0.2084,0.191,0.2257,0.2605,0.2605
Brunei Darussalam,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,7.7784,6.3196,6.3196,6.3196,6.8068,6.3196,5.8352,5.348,6.3196,7.294,7.294
Bulgaria,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.7643,2.8599,3.092,3.4748,3.3566,2.9215,3.08,3.3096,3.458,3.374,2.9624
Bulgaria,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,77.4004,80.0772,86.576,97.2944,93.9848,81.802,86.24,92.6688,96.824,94.472,82.9472
Burkina Faso,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,34.1065,34.6019,35.9498,35.5646,42.4034,41.1394,40.1085,44.1723,50.2721,55.0862,49.4595
Burkina Faso,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,954.982,968.8532,1006.5944,995.8088,1187.2952,1151.9032,1123.038,1236.8244,1407.6188,1542.4136,1384.866
Burundi,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.1498,1.5169,1.6611,2.3972,4.4626,3.4651,3.4869,4.1298,3.9871,3.5663,3.8109
Burundi,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,60.1944,42.4732,46.5108,67.1216,124.9528,97.0228,97.6332,115.6344,111.6388,99.8564,106.7052
Cambodia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,469.3515,463.3362,472.6997,472.2315,483.7798,497.825,506.8764,509.3733,510.1536,545.8909,515.4596
Cambodia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,13141.842,12973.4136,13235.5916,13222.482,13545.8344,13939.1,14192.5392,14262.4524,14284.3008,15284.9452,14432.8688
Cameroon,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.952,11.6714,8.8831,15.8745,9.216,9.5246,8.6782,9.5762,9.5401,10.751,10.9718
Cameroon,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,250.656,326.7992,248.7268,444.486,258.048,266.6888,242.9896,268.1336,267.1228,301.028,307.2104
Central African Republic,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.7226,0.5222,0.6411,0.509,0.5804,0.5803,0.6035,0.6276,3.7956,3.1987,2.5887
Central African Republic,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,20.2328,14.6216,17.9508,14.252,16.2512,16.2484,16.898,17.5728,106.2768,89.5636,72.4836
Chad,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,10.1892,15.2438,13.5602,12.0408,12.7683,13.372,13.0078,13.4629,13.2426,12.886,12.3976
Chad,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,285.2976,426.8264,379.6856,337.1424,357.5124,374.416,364.2184,376.9612,370.7928,360.808,347.1328
Chile,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.3068,4.6452,4.9544,5.2455,5.8706,4.6313,6.5303,5.8047,5.8384,5.0799,4.5815
Chile,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,148.5904,130.0656,138.7232,146.874,164.3768,129.6764,182.8484,162.5316,163.4752,142.2372,128.282
China,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5399.9588,5442.7146,5452.6058,5452.4326,5449.7583,5450.1202,5351.5872,5263.6067,5330.5952,5295.8324,5215.8015
