Area,Item,Element,Unit,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2268,0.2224,0.2032,0.361,0.2682,0.5485,1.1609,1.4538,1.5191,2.2122,1.8953,0.938,0.6779,0.5239,0.4091
Albania,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.4517,0.5333,0.4917,0.5797,0.5491,0.4826,0.4826,0.5783,0.6741,0.6158,0.3892,0.6023,0.512,0,0.2588
Algeria,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.363,0.583,0.9444,0.8847,1.1409,1.0057,1.2021,1.1691,1.1031,1.1031,1.1031,1.1031,1.1031,1.1031,1.1031
Angola,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1284,0.1645,0.2729,0.2574,0.3052,0.3212,0.4339,0.4006,0.3265,0.4198,0.3401,0.2644,0.3753,0.2703,0.4814
Antigua and Barbuda,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0001,0.0004,0.0001,0.0001,0.0004,0.0005,0.0003,0.0001,0.001,0.0001,0.0001,0.0004,0,0.0001,0.0002
Argentina,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,11.9736,7.4967,12.1196,13.4701,11.5483,12.3853,12.3214,9.4833,14.51,15.3347,18.2367,20.0907,22.006,26.0546,27.7747
Armenia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.3823,0.6214,0.4649,0.5649,0.9027,0.9208,0.7643,0.9944,2.2989,1.416,1.416,0.3868,0.4111,0.2897,0.2636
Aruba,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,0,0,11.48446649,0.0024,0,0.0001,0.0001,0,0,0,0,0,0.0001,0.0001
Australia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,13.1217,13.3538,15.4281,17.2688,17.6724,19.204,22.0721,20.472,23.1646,23.4741,22.1763,21.0193,28.3727,32.401,30.2094
Austria,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.1117,1.3554,1.4243,1.8347,1.5356,1.7601,1.7539,2.0468,1.9269,1.8496,1.7778,1.5437,1.8178,1.6733,1.5331
