Area,Item,Element,Unit,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Romania,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,4.3982,4.6523,4.8048,4.9238,4.5566,5.4131,4.7703,5.6155,5.4106,5.9925,7.3643,7.1651,7.3683,8.0269,7.2131
Russian Federation,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,19.0105,19.4431,18.7421,19.8443,18.5396,18.3323,18.7706,19.8537,22.7105,23.7725,24.2317,27.1457,30.1151,32.9104,34.2071
Rwanda,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.044,0.0084,0.0015,0.0012,0.0363,0.1056,0.109,0.1472,0.0544,0.1346,0.1188,0.167,0.1969,0.1661,0.2373
Saint Kitts and Nevis,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0005,0.0004,0.0004,0.0004,0.0004,0,0.0007,0.0001,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
Saint Lucia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0002,0.0014,0.004,0.0024,0.005,0.0032,0.0063,0.0067,0.0045,0.002,0.003,0.0043,0.0049,0.0049,0.0049
Saint Vincent and the Grenadines,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0013,0.001,0.0018,0.0017,0.0017,0.0019,0.0021,0.0021,0.002,0.0021,0.0022,0.0023,0.0022,0.0019,0.0019
Samoa,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0003,0.0002,0.0001,0.0001,0,0.0001,0.0001,0,0.0005,0.0001,0.0003,0.0004,0.0002,0.0002,0.0002
Sao Tome and Principe,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0012,0.0013,0.0014,0.0014,0.0013,0.0015,0.0016,0.0021,0.0017,0.0021,0.0018,0.0017,0.0017,0.0017,0.0017
Saudi Arabia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.64,2.3571,2.3414,2.915,3.2371,2.6966,2.5771,3.0957,3.1696,2.8066,2.8003,2.8003,4.1641,3.9178,3.8667
Senegal,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.029,0.2905,0.427,0.3119,0.3044,0.3353,0.3371,0,0.5419,0.7452,0.5694,0.4948,0.7349,0.2701,0.8273
Serbia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.6032,5.3087,3.3598,3.8768,5.6087,5.3544,3.3004,3.0173,3.7072,3.415,1.8253,2.0465,3.8488,1.6158,4.1898
Seychelles,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0002,0.0004,0.0002,0.0005,0.0006,0.0004,0.0006,0.0009,0.0007,0.0008,0.0007,0.001,0.0007,0.0007,0.0005
