Area,Item,Element,Unit,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Democratic People's Republic of Korea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.2975,1.7311,2.1504,2.7072,1.9825,2.1091,1.7571,1.4707,2.0122,1.8736,2.8116,1.0812,0.469,0.3045,0.0663
Democratic Republic of the Congo,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0678,0.046,0.0735,0.0552,0.0541,0.1113,0.2386,0.2867,0.1778,0.2521,0.3094,0.4305,0.3723,0.3723,0.3459
Denmark,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.4292,2.9383,2.8302,2.8781,2.97,2.806,3.2162,3.5366,3.7828,3.7163,3.5261,3.5395,3.6689,3.1833,3.0793
Djibouti,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0001,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0005,0.0005,0.0006,0.0011,0.001,0.001
Dominica,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0032,0.0019,0.0018,0.0029,0.0019,0.0046,0.0009,0.0049,0.0015,0.0016,0.0008,0.0036,0.0021,0.0012,0.0005
Dominican Republic,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.6778,0.7195,0.8496,0.7105,0.5312,0.5765,0.69,0.9531,1.0307,1.1078,2.0322,1.8181,1.9683,1.6476,1.6476
Ecuador,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.4574,2.377,2.5001,2.8064,2.7175,2.5373,2.7255,2.1783,3.0868,3.1522,3.4559,3.2719,3.2719,3.2719,2.5503
Egypt,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,17.9001,18.7503,18.2081,18.9671,17.0783,17.3501,17.6723,19.1604,20.1221,20.6627,20.966,19.6963,20.9299,20.9299,20.9299
El Salvador,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.1673,1.0254,1.1577,1.2988,1.1171,1.0869,0.78,0.9129,0.7441,0.5391,0.8529,0.3955,0.6354,0.8194,0.3082
Equatorial Guinea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0051,0.0052,0.0057,0.0063,0.0056,0.0068,0.007,0.009,0.0074,0.0092,0.0079,0.0041,0.0042,0.0039,0.0039
Eritrea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,0.0085,0.0044,0.0089,0.0097,0.0129,0.0148,0.0159,0.0302,0.0279,0.0731,0.0649,0.0548,0.0325,0.0428
Estonia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.5572,0.4294,0.4499,0.4683,0.5182,0.5289,0.5627,0.5701,0.5718,0.5867,0.6108,0.6512,0.6519,0.7349,0.6608
Eswatini,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0897,0.0903,0.0889,0.095,0.0996,0.0959,0.092,0.0841,0.0791,0.1095,0.0917,0.1152,0.119,0.128,0.128
Ethiopia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.7564,1.86,2.4536,2.4389,3.9111,2.7034,3.7291,3.8439,5.4617,5.9184,3.9954,5.4925,7.1581,7.4781,6.6926
Fiji,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1062,0.0432,0.0383,0.0555,0.0623,0.0583,0.0438,0.0915,0.0663,0.0796,0.0472,0.0668,0.0878,0.0475,0.051
Finland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.5599,2.1373,2.4596,2.1827,2.1827,2.1707,2.3159,2.2547,2.1706,2.1835,2.1746,2.3068,2.1893,2.2913,1.6488
France,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,32.9843,29.87,32.1043,30.5556,31.8203,34.0755,33.9346,35.1975,34.4414,36.8883,34.0958,31.8183,32.8456,31.1644,27.2426
French Guiana,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0098,0.0086,0.0103,0.0112,0.0112,0.0138,0.0156,0.0133,0.0143,0.0163,0.0165,0.0161,0.0183,0.02,0.02
French Polynesia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0071,0.0042,0.0056,0.0055,0.0039,0.0039,0.0036,0.0054,0.004,0.0059,0.0037,0.006,0.0049,10.81377662,10.68736513
Gabon,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0129,0.0139,0.0093,0.006,0.0204,0.0201,0.0291,0.0695,0.0576,0.1217,0.0989,0.0913,0.0423,0.0581,0.1729
Gambia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0131,0.0215,0.0281,0.0413,0.0071,0.0009,0.0004,0.0022,0.002,0.0006,0.0315,0.0105,0.0003,0.0075,0.0075
Georgia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2731,0.3088,0.2678,0.232,0.2768,0.3552,0.278,0.2728,0.284,0.2253,0.234,0.2019,0.315,0.3261,0.303
Germany,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,24.367,24.6564,28.0733,25.7779,25.9102,26.326,28.6439,26.8811,26.0674,23.5188,21.093,21.5613,19.8861,17.2352,15.83
Ghana,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2887,0.3325,0.3903,0.1687,0.665,0.7125,0.5999,0.6741,0.6741,1.2886,1.0246,1.2021,1.2701,1.2075,1.221
Greece,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.1586,2.75,3.3471,2.8505,2.757,2.9733,2.8262,2.5844,2.7205,2.8557,2.8197,2.9818,3.1891,3.2804,2.6309
Greenland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0038,0.0016,0.0015,11.48446649,0.0017,0.0003,0.0008,0.0003,0.0009,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004
Grenada,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0015,0.0014,0.0025,11.48446649,0.0024,0.0026,0.003,0.0029,0.0028,0.0029,0.0031,0.0032,0.0031,0.0027,0.0027
Guadeloupe,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0063,0.005,0.0088,0.0081,0.0082,0.009,0.0108,0.0107,0.0103,0.0108,0.0112,0.0114,0.0108,0.0093,0.0093
