Area,Item,Element,Unit,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Laos,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0904,0.1298,0.1355,0.1517,0.4631,0.3289,0.4388,0.4397,0.3939,0.3939,0.531,0.6395,0.574,0.5733,0.6344
Latvia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.7893,0.8408,0.9215,0.9723,1.0246,1.0952,1.1461,1.1915,1.2302,1.2169,1.1713,1.2684,1.3254,1.3302,1.2934
Lebanon,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.155,0.244,0.2767,0.289,0.2931,0.3138,0.3001,0.2974,0.3262,0.36,0.266,0.2779,0.2697,0.1474,0.1189
Lesotho,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,10.27622798,10.65922124,11.48446649,10.6790175,10.829513,10.87641393,0.0235,0.0239,0.022,0.0477,0.048,0.043,0.0472,0.03
Liberia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0274,0.0296,0.0532,11.48446649,0.0491,0.0589,0.0588,0.0503,0.0708,0.089,0.091,0.0911,0.0906,0.085,0.085
Libya,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.5029,0.5029,0.5029,0.5013,0.5091,0.4903,0.275,0.22,0.2467,0.4054,0.2373,0.2279,0.2153,0.2153,0.2153
Lithuania,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.859,2.112,2.2503,2.31,2.4043,2.4707,2.5646,2.5585,2.518,2.6266,2.5054,2.8066,2.9194,2.9465,2.054
Luxembourg,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2095,0.2103,0.2163,0.227,0.2149,0.21,0.1998,0.2044,0.2158,0.2133,0.1896,0.1993,0.1886,0.1996,0.1197
Madagascar,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1179,0.0693,0.0719,0.1361,0.2646,0.1613,0.2878,0.2584,0.1467,0.4936,0.4509,0.38,0.3003,0.1502,0.2302
Malawi,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.543,1.1321,1.5169,1.3347,0.9181,0.9238,1.8591,1.7196,0.9944,1.3587,1.5155,1.1989,1.9944,1.6278,0.9964
Malaysia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,11.4235,7.6573,10.71,11.0953,11.3229,8.7262,9.4577,8.4583,8.2854,7.4944,6.0795,4.3837,5.2239,7.2115,5.5825
Maldives,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.001,0.0022,0.002,0.0011,0.0048,0.004,0.0032,0.0036,0.0053,0.0055,0.0064,0.0037,0.0038,0.004,0.0027
Mali,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.0226,1.0429,1.0632,0.8776,0.93,1.1714,1.4127,1.6541,1.8955,1.6184,1.6184,2.4707,1.6137,0.7179,0.3268
Malta,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0064,0.0069,0.0087,0.0074,0.0086,0.009,0.0093,0.0097,0.0089,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092
