Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,1.82,1.79,1.63,2.9,2.16,4.41,9.34,11.7,12.22,17.8,15.06,7.45,5.36,4.14,3.23
Albania,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,41.24,48.76,44.96,53.01,50.21,44.11,44.13,52.87,60.98,56.28,35.59,55.07,47.38,26.34,23.99
Algeria,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,2.75,4.42,7.15,6.69,8.61,7.59,9.06,8.79,8.34,8.27,8.26,8.25,8.28,8.29,8.26
Angola,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,2.27,2.47,3.92,3.32,3.92,3.98,5.2,4.7,3.67,4.71,3.81,2.96,4.2,3.02,5.38
Antigua and Barbuda,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,1.8,4.6,0.8,0.8,5.34,6.48,4.12,1.54,12.23,1.8,1.8,5.4,0.46,0.91,3.16
Argentina,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,20.8,13.44,19.77,21.63,18.09,19.51,19.61,14.59,22.5,23.59,28.13,30.5,32.57,38.29,40.02
Armenia,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,48.24,78.71,58.75,71.52,113.73,115.82,96.35,125.48,290.03,178.75,178.53,48.74,51.91,36.59,33.29
Aruba,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,21.8,1.09,1.03,25.29,77.08,0.84,1.64,2.97,1.41,1.5,0.93,0.87,0.56,2.65,2.65
Australia,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,30.83,27.8,34.03,30.83,31.64,34.79,39.13,37.34,43.67,43.27,40.57,38.93,52.43,58.63,54.67
Austria,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,84.26,54.18,57.08,73.74,61.92,71.02,70.89,83.05,78.19,75.89,73.04,63.5,74.75,68.92,63.28
Azerbaijan,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,14.21,9.17,6.07,10.65,12.94,11.78,17.57,41.26,38.65,30.62,50.55,29.52,37.2,14.94,6.97
Bahrain,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,226.74,247.02,311.14,375.27,383.36,392.67,401.53,411.76,32.72,26.83,30.23,36.81,37.79,37.79,15.47
Bangladesh,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,148.73,133.72,135.03,149.49,132.6,130.67,144.75,154.28,136.41,144.45,154.68,150.93,154.23,173.31,171.18
Barbados,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,108.79,30.21,33.46,65.92,107.11,116.2,67.04,45.2,35.14,67.75,28.77,18.47,21.9,13.48,23.05
Belarus,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,92.87,97.74,93.67,106.37,98.78,94.18,78.91,76.64,60.14,69.65,69.53,69.97,80.18,74.83,81.23
Belgium,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,157.95,180.61,200.11,196.71,200.39,199.71,209.57,207.98,184.41,177.49,174.34,174.08,168.69,175.21,23.2
Belize,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,16.35,55.79,21.31,53.28,55.42,124.42,161.69,146.7,140.1,111.3,132.3,133.4,127.96,128.65,51.18
Benin,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,0.12,1.82,4.11,1.35,2.78,1.47,4.28,0.05,4.26,0.01,12.29,18.46,14.5,14.12,15.6
Bhutan,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,6.77,14.23,6.07,7.5,6.89,6.73,7.89,8.17,8.05,7.9,15.08,8.02,8.54,10.16,5.96
Bolivia (Plurinational State of),Nutrient nitrogen N (total),Use per area of cropland,kg/ha,3.05,3.05,3.85,4.25,3.9,4.73,4.56,4.43,3.92,4.14,3.54,2.65,4.08,4.71,2.94
Bosnia and Herzegovina,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,38.54,57.82,55.28,76.02,91.56,76.25,94.16,99.5,76.61,76.4,61.52,37.41,54.97,42.08,42.96
Botswana,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,21.8,42.86,76.39,25.95,52.79,77.95,52.37,50.17,40.9,21.37,48.34,38.16,52.07,49.94,60.69
Brazil,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,41.55,35.63,45.13,55.56,50.02,58.61,65,50.04,51.68,64.56,65.12,69.65,83.85,95.08,96.18
Brunei Darussalam,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,14,17.2,60.4,26.3,29.3,7,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3
Bulgaria,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,65.27,84.07,80.64,108.8,70.48,80.9,82.09,90.46,100.61,96.54,93.45,97.13,99.98,93.95,23.2
Burkina Faso,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,4.86,4.41,6.24,4.37,6.84,7.07,6.67,6.82,8.86,7.49,7.08,3.69,6.1,5.06,6.33
Burundi,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,0.74,0.78,1.44,1.97,2.3,2.81,3.92,3.17,5.45,6.71,8.74,4.4,4.32,4.25,4.19
Cambodia,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,3.26,4.54,5.84,9.28,13.71,12.45,15.66,19.49,13.25,26.84,29.32,25.19,24.18,26.33,18.35
Cameroon,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,3.15,3.46,3.31,4.77,3.63,4.79,3.36,5.5,5.13,6,5.42,5.42,5.42,5.42,5.9
Canada,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,44.45,45.04,48.76,59.83,66.53,58.35,59.9,60.4,57.22,57.49,64.13,59.52,71.39,66.27,64.28
Central African Republic,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,0.09,0.1,0.12,0.21,0.12,0.06,0,0.11,0.11,0.04,0.1,0.08,0.09,0.09,0.01
Chad,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,1.71,1.75,1.91,0.51,0.47,0.52,0.92,0.58,0.57,0.57,1.33,2.64,2.68,2.5,2.5
Chile,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,112.81,88.98,113.28,107.45,106.97,112.75,108.32,122.14,98.57,97.63,95.71,103.72,103.69,108.15,84.91
China,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,210.6,213.88,219.3,224.93,229.96,232.49,235.15,235.05,233.31,228.11,218.58,208.88,201.34,196.39,191.35
"China, Hong Kong SAR",Nutrient nitrogen N (total),Use per area of cropland,kg/ha,200.93,203.74,208.37,212.68,216.03,217.08,218.46,216.84,214.7,209.04,199.85,171.6,164.42,158.64,158.64
"China, mainland",Nutrient nitrogen N (total),Use per area of cropland,kg/ha,210.63,213.92,219.35,225.06,230.1,232.68,235.38,235.31,233.54,228.38,218.81,209.11,201.47,196.59,191.55
"China, Taiwan Province of",Nutrient nitrogen N (total),Use per area of cropland,kg/ha,205.91,207.13,210.39,203.66,207.73,201.48,197.34,191.91,194.88,184.31,181.75,171.02,180.55,163.79,159.42
Colombia,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,97.92,109.59,120.62,129.85,122.21,112.48,130.25,127.88,114.83,137.23,110.24,100.08,112.21,102.08,81.63
Comoros,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,0.08,0.07,0.05,25.29,0.05,0.03,0.01,0.01,0.17,0.02,0.06,0.33,1.3,0.68,0.8
Congo,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,0.46,1.62,0.19,0.47,1.13,1.01,0.46,1.02,0.51,0.53,0.8,1.3,4.82,3.23,3.92
Cook Islands,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,8.18,9.05,3.5,3.68,8.01,4.2,3.88,12.2,16.96,7.17,6.16,6.96,9.86,7.78,1.15
Costa Rica,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,163.08,85.61,113.34,172.96,160.64,163.3,141.42,154.8,177.66,166.32,179.48,175.93,180.2,154.5,134.08
Côte d'Ivoire,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,2.28,2.78,3.47,3.21,3.73,3.58,4.47,3.74,4.32,2.57,2.49,4.87,3.28,3.85,3.77
Croatia,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,278.26,97.48,118.78,142.75,108.47,82.08,82.74,95.11,76.45,110.7,113.49,108.25,102.23,109.18,94.88
Cuba,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,8.46,3.53,14.98,15.1,16.78,19.73,22.3,17.74,14.07,14.82,11.24,11.24,11.24,11.24,4.24
Cyprus,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,41.9,57.02,75,65.04,76.91,65.21,58.24,63.63,73.77,66.53,59.4,66,64.38,54.87,47.8
Czechia,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,84.01,86.23,92.18,96.8,132.77,130.35,129.64,156.6,159.19,143.94,138.88,131.14,112.63,122.67,128.54
Democratic People's Republic of Korea,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,31.68,42.11,52.16,66.72,48.87,51.99,43.35,36.27,50.17,46.8,70.22,27.04,11.72,7.61,1.66
Democratic Republic of the Congo,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,0.58,0.34,0.46,0.31,0.27,0.54,1.08,1.28,0.78,1.06,1.28,1.75,1.51,1.47,1.3
Denmark,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,90.66,76.73,74.24,73.17,77.97,73.39,83.21,94.6,100.32,98.68,92.73,93.1,97.38,84.97,81.96
