Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Djibouti,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,4.8,4.84,6.18,6.58,7.02,7.49,8.31,7.82,9.35,10.74,10.37,12.49,18.14,16.66,16.66
Dominica,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,10.15,5.76,4.96,8.09,5.18,12.73,2.44,13.69,4.06,4.5,2.18,9.87,5.69,3.23,1.5
Dominican Republic,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,35.95,38.16,45.05,37.68,29.27,31.77,38.01,49.23,53.24,57.22,104.97,93.91,101.67,85.1,85.1
Ecuador,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,62.55,59.36,61.72,70.44,68.33,60.63,72.66,54.34,81.34,81.41,93.43,85.72,83.92,85.05,69.36
Egypt,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,321.6,323.45,315.64,333.43,294.05,295.93,302.7,321.73,342.95,342.69,345.38,319.58,335.41,330.41,328.22
El Salvador,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,85.5,74.99,84.55,94.71,81.33,79.02,56.62,66.17,53.86,38.96,61.61,28.56,45.9,59.19,22.26
Equatorial Guinea,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,3.26,3.33,3.63,4.03,3.53,4.32,4.46,5.71,4.68,5.87,5.05,2.64,2.68,2.5,2.5
Eritrea,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,21.8,0.78,0.4,0.82,0.89,1.19,1.36,1.47,2.78,2.56,6.72,5.97,5.04,2.99,3.94
Estonia,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,58.53,45.21,43.9,46.61,52.57,52.51,54.5,53.5,52.06,54.42,56.33,59.45,59.35,66.34,59.06
Eswatini,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,29.9,29.92,29.31,31.34,32.84,31.62,30.19,27.59,25.95,35.91,29.91,37.59,38.82,41.76,41.76
