Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Libya,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,15.35,15.35,15.6,15.55,15.77,15.18,8.54,6.83,7.66,12.59,7.37,7.07,6.68,6.68,6.68
Lithuania,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,62.63,64.57,66.35,66.32,66.75,67.68,68.45,73.77,73.59,78.14,74.12,79.49,81.31,80.99,56.14
Luxembourg,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,83.31,84.53,86.78,90.81,85.3,83.56,79.26,80.85,86.63,85.39,75.79,79.85,75.37,79.37,47.98
Madagascar,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,2.08,1.23,1.27,2.41,4.68,2.85,5.09,4.57,2.59,8.73,7.97,6.72,5.31,2.66,4.07
Malawi,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,27.39,19.82,26.56,23.37,16.07,15.91,31.12,28.38,16.18,21.8,23.97,18.71,30.7,24.66,15.1
Malaysia,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,105.89,70.26,95.93,97.45,95.51,71.43,74.95,64.97,63.64,57.56,46.69,33.67,40.12,55.39,42.88
Maldives,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,10.67,23.5,21.53,11.86,56.08,47.5,37.62,41.91,62.72,64.81,75.2,43.07,45.19,52.15,35.52
Mali,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,10.51,10.34,10.51,8.45,8.7,10.67,12.56,14.39,15.9,13.29,12.94,19.23,12.27,5.32,2.41
Malta,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,43.78,47.31,53.43,45.58,53.23,55.86,58.12,60.39,54.74,56.41,56.43,56.45,64.34,66.99,66.99
Martinique,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,16.02,12.93,22.83,21.37,21.48,23.78,27.1,26.4,25.07,26.54,27.8,28.93,29.77,25.78,24.08
Mauritania,Nutrient nitrogen N (total),Use per area of cropland,kg/ha,2.47,2.53,5.14,2.9,3.93,4.72,4.71,4.08,5.75,7.23,7.39,8.28,8.24,7.73,7.73
