Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Afghanistan,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.0,0.07,0.12,0.86,0.16,0.38,0.65,1.38,1.14,2.11,1.83,3.22,3.1,0.91,1.68
Albania,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,25.81,29.96,31.08,33.54,31.85,32.9,32.91,41.27,49.1,30.54,19.19,21.68,33.3,23.05,6.96
Algeria,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,2.47,5.81,3.9,4.33,6.82,8.45,9.24,7.47,6.99,6.93,6.92,6.91,6.93,6.94,6.91
Angola,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,1.09,1.2,1.95,3.42,1.6,1.84,1.48,0.97,1.16,2.11,1.09,1.76,1.44,1.01,3.16
Antigua and Barbuda,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,1.0,3.0,0.8,1.4,1.67,2.08,1.7,2.11,1.33,1.3,0.49,2.49,3.59,2.32,1.5
Argentina,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,11.91,8.37,17.53,18.29,14.66,14.88,14.04,10.27,15.82,15.48,16.7,18.1,20.2,20.45,19.92
Armenia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.05,0.0,0.07,0.83,0.13,1.11,5.5,3.32,0.64,0.05,0.05,2.14,2.15,1.62,1.54
Aruba,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,22.88,0.23,0.34,26.92,0.54,0.22,1.49,0.18,0.69,0.56,0.37,5.88,4.64,4.76,4.76
Australia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,23.7,16.46,22.2,19.21,19.33,18.65,19.68,20.69,21.85,22.08,21.35,21.68,22.83,28.5,25.88
Austria,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,28.03,11.01,13.93,18.49,16.6,18.81,20.79,20.18,19.8,20.39,18.38,17.13,20.75,17.16,10.05
Azerbaijan,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,2.89,1.27,1.01,1.47,2.85,4.65,8.1,2.08,0.22,0.57,0.0,29.39,22.56,2.29,10.84
Bahamas,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,22.88,20.525,22.69,26.92,26.77,28.72,24.95,35.6,38.06,41.44,32.13,34.1,16.24,16.24,19.35
Bahrain,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,10.84,10.49,12.57,14.84,19.09,21.24,20.47,19.0,35.84,23.23,20.73,31.8,18.53,18.53,15.54
Bangladesh,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,12.68,19.69,34.27,46.87,58.69,58.82,66.46,70.86,74.29,74.78,82.56,86.44,84.6,126.29,120.56
Barbados,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,12.71,29.07,89.0,20.42,60.62,0.9,2.67,11.98,42.11,20.6,20.86,13.32,16.4,15.3,15.29
Belarus,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,32.11,40.91,41.31,51.69,39.22,36.61,26.52,23.31,13.16,13.27,17.97,15.16,17.55,16.94,17.34
Belgium,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,18.39,26.71,32.51,29.31,30.08,29.08,19.87,21.0,14.8,14.63,14.87,15.18,14.58,14.58,19.35
Belize,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,15.94,25.94,12.17,107.02,31.53,76.29,64.37,94.14,106.16,83.52,100.01,118.35,92.78,94.22,32.25
Benin,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.14,1.66,3.66,1.0,2.77,1.24,1.06,0.0,2.06,0.0,7.05,10.75,7.25,6.93,7.38
Bermuda,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,22.88,20.525,22.69,26.92,22.415,80.95,84.0,73.76,52.34,6.67,53.47,0.0,0.33,0.0,19.35
Bhutan,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,2.1,4.19,1.7,2.43,1.53,2.36,2.74,2.87,3.13,2.48,2.81,3.26,3.47,4.13,4.78
Bolivia (Plurinational State of),Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,1.04,1.82,2.32,1.94,2.3,3.01,2.48,2.55,2.11,3.18,2.47,2.09,3.72,3.2,3.56
Bosnia and Herzegovina,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,7.91,4.16,9.24,8.74,8.88,7.91,7.23,7.87,10.23,9.38,7.02,8.3,9.31,6.03,4.5
Botswana,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,22.88,2.82,3.21,2.27,0.88,1.38,2.78,7.87,2.9,6.33,5.41,6.38,8.29,4.81,6.27
Brazil,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,58.31,43.04,53.65,69.27,65.73,78.82,81.28,68.63,63.0,72.01,80.43,76.58,114.02,104.44,90.46
Brunei Darussalam,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,10.33,11.9,55.2,7.5,8.0,7.6,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2
Bulgaria,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,37.4,14.16,8.4,14.3,14.1,14.42,15.02,18.1,22.72,18.63,21.01,21.16,21.66,19.99,19.35
Burkina Faso,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,2.14,1.98,1.17,2.25,2.41,3.22,2.92,3.01,3.98,3.24,2.86,1.68,3.35,1.93,3.18
Burundi,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.28,0.46,0.99,1.97,1.81,4.84,3.15,2.66,3.33,4.33,6.3,8.72,8.57,8.43,24.88
Cambodia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,5.97,8.01,8.99,9.67,11.01,10.08,9.08,7.72,5.85,9.66,8.73,11.92,13.14,14.69,8.91
Cameroon,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.94,0.62,1.39,1.12,1.62,1.31,1.53,1.64,1.66,1.28,2.23,2.23,2.23,2.23,1.69
Canada,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,17.37,14.68,17.19,21.95,20.37,22.58,24.65,26.1,25.09,26.45,29.08,29.14,31.09,28.47,26.69
Central African Republic,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.04,0.04,0.11,0.13,0.03,0.02,0.0,0.02,0.04,0.04,0.01,0.01,0.01,0.01,0.0
Chad,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.56,0.49,0.81,0.38,0.52,0.75,0.32,0.34,0.79,0.93,0.26,0.97,0.91,0.87,0.87
Chile,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,49.41,36.14,47.36,43.6,41.95,44.78,53.36,55.29,44.86,46.02,49.33,41.24,50.22,48.92,30.55
China,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,80.09,94.93,106.26,102.5,104.08,104.34,101.7,96.95,92.48,90.62,86.45,82.73,80.55,79.38,75.43
"China, Hong Kong SAR",Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,77.43,91.41,102.08,97.95,98.8,98.51,95.71,90.84,89.59,86.4,79.23,80.33,77.72,76.69,76.69
"China, mainland",Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,79.59,94.55,105.91,102.15,103.73,103.96,101.35,96.6,92.06,90.26,86.07,82.38,80.14,79.07,75.09
"China, Taiwan Province of",Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,162.53,157.18,164.01,160.36,163.11,166.35,159.63,154.72,161.07,148.96,147.9,138.65,145.39,129.91,130.64
Colombia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,44.98,43.17,59.07,58.24,66.59,57.3,63.76,63.19,60.09,63.02,50.05,48.53,52.11,49.11,39.36
Comoros,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.07,0.07,0.04,26.92,0.04,0.02,0.0,0.04,0.03,0.01,0.18,0.35,1.11,0.59,0.68
Congo,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.12,1.32,0.15,0.27,0.28,0.58,0.13,0.33,0.45,0.62,0.44,0.56,1.41,1.62,0.89
Cook Islands,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,7.73,8.1,3.0,3.16,3.19,3.35,2.14,10.54,3.83,2.28,3.38,2.32,8.98,5.9,0.99
Costa Rica,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,42.37,31.45,31.76,46.81,39.09,31.39,32.19,40.91,19.25,37.5,31.13,29.03,40.14,33.51,26.27
Côte d'Ivoire,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.61,0.88,2.93,1.17,2.13,3.91,3.58,3.79,4.99,3.79,2.1,5.01,3.83,3.53,1.3
Croatia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,95.71,46.39,103.45,100.52,33.31,30.21,43.4,32.14,14.0,38.36,40.69,38.38,36.37,36.76,34.78
Cuba,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,7.01,1.47,6.55,5.59,8.09,7.69,5.74,7.88,5.59,3.96,2.16,2.16,2.16,2.16,0.17
Cyprus,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,18.84,41.7,46.53,24.28,42.95,41.62,36.92,38.96,49.81,41.52,39.67,42.62,40.23,35.93,30.02
Czechia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,13.35,13.38,15.45,16.78,16.07,16.29,16.56,19.17,18.69,21.76,20.31,22.92,18.72,14.32,14.81
Democratic People's Republic of Korea,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.13,0.03,0.05,0.07,0.09,1.12,1.02,0.62,1.79,2.99,1.43,4.71,0.64,4.69,0.0
Democratic Republic of the Congo,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.12,0.08,0.08,0.08,0.1,0.1,0.12,0.14,0.1,0.1,0.11,0.1,0.11,0.11,0.19
Denmark,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,16.64,9.19,13.6,13.69,9.49,14.35,13.02,13.91,13.18,19.89,14.04,13.97,15.58,14.53,10.57
