Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Romania,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,11.15,10.87,12.83,13.38,12.23,12.39,12.88,14.41,14.02,16.17,20.65,21.47,21.11,26.43,23.08
Russian Federation,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,3.49,3.19,3.54,3.46,3.42,3.55,3.78,3.79,4.13,4.78,4.86,4.87,5.56,6.12,5.91
Rwanda,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,3,0.31,22.69,0.02,1.85,2.73,2.9,4.58,3.64,7.81,5.09,10.11,10.84,9.45,8.9
Saint Kitts and Nevis,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,5.85,3.33,3.04,2.75,2.75,0,7.46,2.73,2.7,1.89,1.89,1.89,1.89,1.89,1.89
Saint Lucia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.21,8.99,5.54,5.54,24.36,7.5,17.22,14.31,12.43,14.19,14.03,19.2,11.91,12.1,12.1
Saint Vincent and the Grenadines,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,8.84,4.9,10.25,9.01,11.02,10.95,9.43,10.09,9.11,7.27,7.9,5.88,4.64,4.76,4.76
Samoa,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.5,0.43,0.14,0.12,0.04,0.15,0.01,20.35,0.51,0.16,0.46,0.45,0.2,0.38,0.38
Sao Tome and Principe,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.78,0.68,1.14,1.3,1.02,0.95,0.9,0.86,0.89,1.02,0.7,0.97,0.91,0.87,0.87
Saudi Arabia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,19.65,18.61,22.19,23.57,24.98,24.48,25.07,27.94,26.16,25.78,25.8,25.71,22.51,20.87,22.11
Senegal,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,1.12,1.02,0.74,0.16,2.54,3.17,3,4.06,4.35,10.37,3.18,2.09,4.39,1.88,0.91
Serbia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,23.37,31.95,25.77,33.26,42.54,34.08,18.93,19.17,27.51,16.31,7.87,13.76,35.37,13.43,26.06
Seychelles,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,3,3.79,2.08,3.42,13.1,7.49,2.03,22.21,7.69,14.21,7.56,22.29,10.19,10.19,13.41
Sierra Leone,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.91,1.29,1.89,26.92,1.93,1.61,1.61,2.18,2.67,3.44,3.13,0.5,0.5,0.5,0.5
Singapore,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,16.55,18.71,18.58,18.84,25.3,25.54,27.01,25.84,25,28.7,25.93,22.39,22.54,22.15,22.15
Slovakia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,10.49,9.35,10.68,13.58,14.53,14.84,16.48,15.78,17.8,17.05,18.81,19.09,20.1,22.21,17.83
Slovenia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,35.64,21.89,29.03,26.92,26.41,26.26,26.99,27.83,26.98,26.86,27.12,24.2,25.14,21.86,16.5
Somalia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0,0,0,0,0,0,0,0,0.14,0.24,0.47,0.16,0.26,0.17,0.01
South Africa,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,12.63,12.47,11.94,13.45,13.78,19.43,19.14,19.08,17.04,19.43,22.97,23.59,20.82,25.29,23.31
South Sudan,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,22.88,20.525,22.69,26.92,22.415,0,19.69,0,0,0,0.03,0.03,0.02,0,0
Spain,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,15.72,15.35,19.55,21.35,21.47,25.27,23.19,23.96,24.36,25.7,25.4,28.63,29.24,23.6,14.43
Sri Lanka,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,32.04,24.2,23.25,27.26,27.23,19.08,27.2,17.12,12.47,8.39,17.28,16.78,21.57,5.81,5.81
Sudan,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,22.88,20.525,22.69,26.92,1.78,0.14,1.83,0.36,0.46,0.23,1.27,0.48,1.85,1.27,1.27
Suriname,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,108.85,13.29,15.11,21.9,31.4,31.22,24.74,15.68,15.39,20.56,8.95,8.66,15.95,15.04,16.29
Sweden,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,12.8,3.08,8.54,9.32,9.14,10.44,10.71,11.09,11.69,12.88,12.86,11.56,14.99,20.46,16.26
Switzerland,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,25.57,19.06,26.2,26.8,20.46,24.49,23.27,24.03,23.74,22.53,23.47,20.41,21.86,16.07,19.35
Syrian Arab Republic,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,23.16,15.26,6.15,16.62,5.06,6.55,0,0,0,0.59,0.78,1.04,0.86,0.58,1.46
Tajikistan,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.2,1.76,1.16,0.55,0.46,2.66,4.23,1.35,1.64,5.76,3.19,5.97,6.95,3.51,2.36
Thailand,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,16.01,11.16,19.75,19.17,21.19,25.79,24.18,20.52,19.43,19.28,12.49,11.34,12.32,13.08,8.94
Timor-Leste,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0,0.03,0.01,26.92,0.44,0.11,0.04,0.34,0.18,0.04,0.04,0.06,0.04,0.05,0.02
Togo,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0,0.54,1.95,0.91,1.92,3.04,1.12,0.41,3.25,0.14,3.64,0.64,0.64,0.33,2.05
Tonga,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,1.1,1.21,2.99,2.05,1.69,1.38,1.25,1.88,1.89,1.47,1.6,2.31,2.48,2.07,0.72
Trinidad and Tobago,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,2.13,4.26,2.13,4.26,6.38,8.51,10.64,10.64,10.64,8.51,10.57,12.46,17.62,18.29,21.5
Tunisia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,7.34,9.72,9.45,9.55,9.96,10.24,10.12,11.88,11.13,9.13,11.17,11.88,9.73,9.6,9.6
Türkiye,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,13.42,26.07,24.83,20.74,22.36,26.15,23.82,24.42,33.42,32.33,22.48,28.89,32.99,26.99,25.29
Turkmenistan,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,2.65,2.72,2.73,2.76,2.72,2.9,3.51,18.23,9.75,10.66,19.91,20.48,16.26,12.42,17.18
