Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Latvia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,11.86,9.47,13.69,14.5,16.73,20.13,19.23,19.7,19.64,19.94,20.18,20.2,23.26,23.9,19.07
Lebanon,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,68.82,60.08,67.08,63.75,62.02,35.38,37.79,24.93,32.4,26.18,39.26,25.48,21.28,21.12,21.12
Liberia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.91,1.29,1.89,26.92,1.93,1.61,1.61,2.18,2.67,3.44,3.13,3.54,3.72,3.1,3.1
Libya,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,7.86,11.79,15.94,23.89,23.99,14.74,10.17,5.85,5.21,9.16,6.15,7.57,8.23,5.01,6.3
Lithuania,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,11.65,15.85,16.22,16.24,17.01,17.91,18.65,20.95,23.37,25.13,23.88,23.4,23.86,23.85,16.37
Luxembourg,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,11.85,10.94,13.02,13,12.91,12.9,12.87,12.86,12.41,12.85,9.23,8.6,8.97,9.47,6.11
Madagascar,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.66,0.45,0.57,0.47,0.63,0.62,1.11,0.74,1.2,1.09,1.29,1.66,1.9,1.5,0.87
Malawi,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,3.48,5.67,4.86,3.84,5.64,6.91,3.07,6.94,3.68,6.07,4.76,4.93,7.77,8.36,4.66
Malaysia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,25.78,33.17,29.44,21.68,21.93,24.82,23.18,19.07,20.38,23.04,20.87,14.84,18.64,21.67,19.05
Maldives,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.5,20.83,20.34,7.12,20.48,46.26,5.24,0.54,2.44,10.92,4.08,4.42,10.71,18.73,10.05
